MEANING	CLUSTER_ALGO	Precision	Recall	F-score	ARI	# of. Predicted Clusters	# of. Gold Clusters	ALPHA
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
louse	CRP	0.875	0.46829710144927533	0.6100809170600134	0.3947767592165139	9	5	0.10959003918412327
